frame.time,ip.src,ip.dst,eth.src,eth.dst,tcp.port,udp.port,_ws.col.Info,data.text
"Nov 17, 2024 15:23:33.275407000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Previous segment not captured] 80 → 51749 [ACK] Seq=16801 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:33.275490000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 27#1] 51749 → 80 [ACK] Seq=1 Ack=15401 Win=514 Len=0 SLE=16801 SRE=18201",
"Nov 17, 2024 15:23:33.462856000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=18201 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:33.462934000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 27#2] 51749 → 80 [ACK] Seq=1 Ack=15401 Win=514 Len=0 SLE=16801 SRE=19601",
"Nov 17, 2024 15:23:33.698265000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=19601 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:33.698333000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 27#3] 51749 → 80 [ACK] Seq=1 Ack=15401 Win=514 Len=0 SLE=16801 SRE=21001",
"Nov 17, 2024 15:23:33.938844000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [PSH, ACK] Seq=15401 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:33.938946000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=21001 Win=514 Len=0",
"Nov 17, 2024 15:23:34.053644000 IST","172.20.10.4","172.20.10.1","c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,"60507,53","Standard query 0xd1af AAAA www.bing.com",
"Nov 17, 2024 15:23:34.053936000 IST","172.20.10.4","172.20.10.1","c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,"60508,53","Standard query 0x26a1 A www.bing.com",
"Nov 17, 2024 15:23:34.054100000 IST","172.20.10.4","172.20.10.1","c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,"60509,53","Standard query 0x50fc HTTPS www.bing.com",
"Nov 17, 2024 15:23:34.094583000 IST","172.20.10.1","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,"53,60507","Standard query response 0xd1af AAAA www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net AAAA 2600:1417:56::174c:9d1a AAAA 2600:1417:56::174c:9d09",
"Nov 17, 2024 15:23:34.094583000 IST","172.20.10.1","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,"53,60509","Standard query response 0x50fc HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net",
"Nov 17, 2024 15:23:34.101171000 IST","172.20.10.1","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,"53,60508","Standard query response 0x26a1 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 96.17.168.42 A 23.200.239.225 A 23.200.239.216",
"Nov 17, 2024 15:23:34.107449000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [SYN] Seq=0 Win=65330 Len=0 MSS=1390 WS=256 SACK_PERM=1",
"Nov 17, 2024 15:23:34.151236000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"443 → 51951 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1380 SACK_PERM=1 WS=128",
"Nov 17, 2024 15:23:34.151384000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [ACK] Seq=1 Ack=1 Win=131072 Len=0",
"Nov 17, 2024 15:23:34.155554000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"[TCP segment of a reassembled PDU]",
"Nov 17, 2024 15:23:34.155554000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [PSH, ACK] Seq=1381 Ack=1 Win=131072 Len=60 [TCP segment of a reassembled PDU]",
"Nov 17, 2024 15:23:34.155716000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"Client Hello",
"Nov 17, 2024 15:23:34.167232000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=21001 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:34.206214000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"443 → 51951 [ACK] Seq=1 Ack=1381 Win=64128 Len=0",
"Nov 17, 2024 15:23:34.206214000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"[TCP Dup ACK 49#1] 443 → 51951 [ACK] Seq=1 Ack=1381 Win=64128 Len=0 SLE=1441 SRE=1723",
"Nov 17, 2024 15:23:34.207180000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=22401 Win=514 Len=0",
"Nov 17, 2024 15:23:34.207899000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"443 → 51951 [ACK] Seq=1 Ack=1723 Win=63872 Len=0",
"Nov 17, 2024 15:23:34.207899000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"Server Hello, Change Cipher Spec, Application Data",
"Nov 17, 2024 15:23:34.248031000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [ACK] Seq=1723 Ack=1381 Win=131072 Len=0",
"Nov 17, 2024 15:23:34.409411000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"[TCP Previous segment not captured] 443 → 51951 [PSH, ACK] Seq=2761 Ack=1723 Win=64128 Len=1274 [TCP segment of a reassembled PDU], Application Data, Application Data",
"Nov 17, 2024 15:23:34.409502000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"[TCP Dup ACK 54#1] 51951 → 443 [ACK] Seq=1723 Ack=1381 Win=131072 Len=0 SLE=2761 SRE=4035",
"Nov 17, 2024 15:23:34.707455000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"[TCP Retransmission] 443 → 51951 [ACK] Seq=1381 Ack=1723 Win=64128 Len=1380",
"Nov 17, 2024 15:23:34.707561000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [ACK] Seq=1723 Ack=4035 Win=131072 Len=0",
"Nov 17, 2024 15:23:34.713429000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"Change Cipher Spec, Application Data",
"Nov 17, 2024 15:23:34.765108000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"443 → 51951 [ACK] Seq=4035 Ack=1803 Win=64128 Len=0",
"Nov 17, 2024 15:23:34.766659000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"Application Data",
"Nov 17, 2024 15:23:34.766659000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","443,51951",,"Application Data",
"Nov 17, 2024 15:23:34.766706000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51951,443",,"51951 → 443 [ACK] Seq=1803 Ack=4609 Win=130304 Len=0",
"Nov 17, 2024 15:23:35.287843000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,,"Who has 172.20.10.4? Tell 172.20.10.1",
"Nov 17, 2024 15:23:35.287843000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=22401 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:35.287879000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,,"172.20.10.4 is at c0:35:32:26:48:bb",
"Nov 17, 2024 15:23:35.328216000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=23801 Win=514 Len=0",
"Nov 17, 2024 15:23:35.586049000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Previous segment not captured] 80 → 51749 [ACK] Seq=28001 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:35.586124000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 67#1] 51749 → 80 [ACK] Seq=1 Ack=23801 Win=514 Len=0 SLE=28001 SRE=29401",
"Nov 17, 2024 15:23:35.588645000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=29401 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:35.588701000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 67#2] 51749 → 80 [ACK] Seq=1 Ack=23801 Win=514 Len=0 SLE=28001 SRE=30801",
"Nov 17, 2024 15:23:35.832128000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [ACK] Seq=23801 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:35.832219000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=25201 Win=514 Len=0 SLE=28001 SRE=30801",
"Nov 17, 2024 15:23:35.844113000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [ACK] Seq=25201 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:35.844196000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=26601 Win=514 Len=0 SLE=28001 SRE=30801",
"Nov 17, 2024 15:23:36.055575000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [ACK] Seq=26601 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:36.055694000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=30801 Win=514 Len=0",
"Nov 17, 2024 15:23:36.080212000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=30801 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:36.120728000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=32201 Win=514 Len=0",
"Nov 17, 2024 15:23:36.286648000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=32201 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:36.327237000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=33601 Win=514 Len=0",
"Nov 17, 2024 15:23:36.343702000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=33601 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:36.384149000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=35001 Win=514 Len=0",
"Nov 17, 2024 15:23:36.522448000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=1 Ack=1 Win=14182 Len=112",
"Nov 17, 2024 15:23:36.542537000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Previous segment not captured] 80 → 51749 [ACK] Seq=36401 Ack=1 Win=280 Len=1400",
